# 2024/4/5
# VASP calculation for rutile TiO2
# displacement[Ang]  Energy[eV]
0.	 -69.82869692 
0.00241931	 -69.82867532 
0.00483863	 -69.82861031 
0.00725794	 -69.82850129 
0.00967726	 -69.82835450 
0.01209657	 -69.82815436 
0.01451588	 -69.82790662 
0.0169352	 -69.82760943 
0.01935451	 -69.82726061 
0.02177383	 -69.82685777 
0.02419314	 -69.82639823 
0.02661246	 -69.82587901 
0.02903177	 -69.82529679 
0.03145108	 -69.82464788 
0.0338704 	 -69.82392830 
0.03628971	 -69.82313366 
0.03870903	 -69.82225948 
0.04112834	 -69.82130090 
0.04354765	 -69.82025271 
0.04596697	 -69.81910938 
0.04838628	 -69.81785808 
0.0508056	 -69.81650690 
0.05322491	 -69.81504250 
0.05564422	 -69.81345832 
0.05806354	 -69.81174731 
0.06048285	 -69.80990206 
0.06290217	 -69.80791495 
0.06532148	 -69.80577809 
0.0677408	 -69.80348347 
0.07016011	 -69.80102282 
0.07257942	 -69.79838753 
0.07499874	 -69.79556163 
0.07741805	 -69.79255036 
0.07983737	 -69.78933733 
0.08225668	 -69.78591302 
0.08467599	 -69.78226054 
0.08709531	 -69.77838424 
0.08951462	 -69.77426685 
0.09193394	 -69.76989810 
0.09435325	 -69.76526757 
0.09677256	 -69.76036452 
	
